Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/ofbiz13.07/.svn/pristine/44,6024,6024,0,"100.00"
/ofbiz13.07/.svn/pristine/45,8118,8118,0,"100.00"
/ofbiz13.07/.svn/pristine/46,5667,5667,0,"100.00"
/ofbiz13.07/.svn/pristine/47,12086,12086,0,"100.00"
/ofbiz13.07/.svn/pristine/48,6756,6756,0,"100.00"
/ofbiz13.07/.svn/pristine/49,8826,8826,0,"100.00"
/ofbiz13.07/.svn/pristine/4a,6501,6501,0,"100.00"
/ofbiz13.07/.svn/pristine/4b,8280,8280,0,"100.00"
/ofbiz13.07/.svn/pristine/4c,3876,3876,0,"100.00"
/ofbiz13.07/.svn/pristine/4d,6529,6529,0,"100.00"
/ofbiz13.07/.svn/pristine/4e,3265,3265,0,"100.00"
/ofbiz13.07/.svn/pristine/4f,2877,2877,0,"100.00"
/ofbiz13.07/.svn/pristine/50,3489,3489,0,"100.00"
/ofbiz13.07/.svn/pristine/51,5249,5249,0,"100.00"
/ofbiz13.07/.svn/pristine/52,32604,32604,0,"100.00"
/ofbiz13.07/.svn/pristine/53,2934,2934,0,"100.00"
/ofbiz13.07/.svn/pristine/54,2470,2470,0,"100.00"
/ofbiz13.07/.svn/pristine/55,2828,2828,0,"100.00"
/ofbiz13.07/.svn/pristine/56,2127,2127,0,"100.00"
/ofbiz13.07/.svn/pristine/57,1596,1596,0,"100.00"
/ofbiz13.07/.svn/pristine/58,4800,4800,0,"100.00"
/ofbiz13.07/.svn/pristine/59,20650,20650,0,"100.00"
/ofbiz13.07/.svn/pristine/5a,25537,25537,0,"100.00"
/ofbiz13.07/.svn/pristine/5b,2515,2515,0,"100.00"
/ofbiz13.07/.svn/pristine/5c,4915,4915,0,"100.00"
/ofbiz13.07/.svn/pristine/5d,6157,6157,0,"100.00"
/ofbiz13.07/.svn/pristine/5e,3448,3448,0,"100.00"
/ofbiz13.07/.svn/pristine/5f,4039,4039,0,"100.00"
/ofbiz13.07/.svn/pristine/60,3969,3969,0,"100.00"
/ofbiz13.07/.svn/pristine/61,3394,3394,0,"100.00"
/ofbiz13.07/.svn/pristine/62,2303,2303,0,"100.00"
/ofbiz13.07/.svn/pristine/63,2146,2146,0,"100.00"
/ofbiz13.07/.svn/pristine/64,6079,6079,0,"100.00"
/ofbiz13.07/.svn/pristine/65,1753,1753,0,"100.00"
/ofbiz13.07/.svn/pristine/66,4032,4032,0,"100.00"
/ofbiz13.07/.svn/pristine/67,2471,2471,0,"100.00"
/ofbiz13.07/.svn/pristine/68,1364,1364,0,"100.00"
/ofbiz13.07/.svn/pristine/69,9743,9743,0,"100.00"
/ofbiz13.07/.svn/pristine/6a,3236,3236,0,"100.00"
/ofbiz13.07/.svn/pristine/6b,1204,1204,0,"100.00"
/ofbiz13.07/.svn/pristine/6c,3613,3613,0,"100.00"
/ofbiz13.07/.svn/pristine/6d,3398,3398,0,"100.00"
/ofbiz13.07/.svn/pristine/6e,3350,3350,0,"100.00"
/ofbiz13.07/.svn/pristine/6f,3533,3533,0,"100.00"
/ofbiz13.07/.svn/pristine/70,1995,1995,0,"100.00"
/ofbiz13.07/.svn/pristine/71,13308,13308,0,"100.00"
/ofbiz13.07/.svn/pristine/72,10036,10036,0,"100.00"
/ofbiz13.07/.svn/pristine/73,4341,4341,0,"100.00"
/ofbiz13.07/.svn/pristine/74,3450,3450,0,"100.00"
/ofbiz13.07/.svn/pristine/75,38798,38798,0,"100.00"
/ofbiz13.07/.svn/pristine/76,9835,9835,0,"100.00"
/ofbiz13.07/.svn/pristine/77,3435,3435,0,"100.00"
/ofbiz13.07/.svn/pristine/78,2664,2664,0,"100.00"
/ofbiz13.07/.svn/pristine/79,7730,7730,0,"100.00"
/ofbiz13.07/.svn/pristine/7a,2806,2806,0,"100.00"
/ofbiz13.07/.svn/pristine/7b,12914,12914,0,"100.00"
/ofbiz13.07/.svn/pristine/7c,4753,4753,0,"100.00"
/ofbiz13.07/.svn/pristine/7d,81305,81305,0,"100.00"
/ofbiz13.07/.svn/pristine/7e,6968,6968,0,"100.00"
/ofbiz13.07/.svn/pristine/7f,13943,13943,0,"100.00"
/ofbiz13.07/.svn/pristine/80,3033,3033,0,"100.00"
/ofbiz13.07/.svn/pristine/81,3662,3662,0,"100.00"
/ofbiz13.07/.svn/pristine/82,6767,6767,0,"100.00"
/ofbiz13.07/.svn/pristine/83,5009,5009,0,"100.00"
/ofbiz13.07/.svn/pristine/84,2030,2030,0,"100.00"
/ofbiz13.07/.svn/pristine/85,3105,3105,0,"100.00"
/ofbiz13.07/.svn/pristine/86,3058,3058,0,"100.00"
/ofbiz13.07/.svn/pristine/87,6361,6361,0,"100.00"
/ofbiz13.07/.svn/pristine/88,12987,12987,0,"100.00"
/ofbiz13.07/.svn/pristine/89,12047,12047,0,"100.00"
/ofbiz13.07/.svn/pristine/8a,3474,3474,0,"100.00"
/ofbiz13.07/.svn/pristine/8b,1591,1591,0,"100.00"
/ofbiz13.07/.svn/pristine/8c,24214,24214,0,"100.00"
/ofbiz13.07/.svn/pristine/8d,5145,5145,0,"100.00"
